strategy,rep,max_lc_unfusions,max_p_unfusions,qubits,depth,pt,pcnot,initial_gate_count,initial_2Q_count,initial_T_count,final_gate_count,final_2Q_count,final_T_count,optimisation_time,2Q_reduction,gate_reduction
cFlow,0,0.0,5.0,10,1000,0.02,0.3,1000,292,19,487,244,19,90.48250204208308,16.438356164383563,51.3
cFlow,0,1.0,5.0,10,1000,0.02,0.3,1000,292,19,502,242,19,92.31781450007112,17.123287671232877,49.8
cFlow,0,2.0,5.0,10,1000,0.02,0.3,1000,292,19,504,241,19,94.82710662484168,17.465753424657535,49.6
cFlow,0,3.0,5.0,10,1000,0.02,0.3,1000,292,19,503,242,19,96.13032070896588,17.123287671232877,49.7
cFlow,0,4.0,5.0,10,1000,0.02,0.3,1000,292,19,503,242,19,100.6320538329892,17.123287671232877,49.7
cFlow,0,5.0,5.0,10,1000,0.02,0.3,1000,292,19,503,242,19,99.80555750010537,17.123287671232877,49.7
full_reduce,0,,,10,1000,0.03,0.3,1000,325,31,330,225,29,0.0765959999989718,30.76923076923077,67.0
gFlow,0,,,10,1000,0.03,0.3,1000,325,31,562,290,29,0.2183283749036491,10.76923076923077,43.8
ZX-heur,0,,,10,1000,0.03,0.3,1000,325,31,574,305,29,7.337263584136963,6.153846153846154,42.6
cFlow,0,0.0,0.0,10,1000,0.03,0.3,1000,325,31,536,289,29,1.1002802080474794,11.076923076923077,46.4
cFlow,0,1.0,0.0,10,1000,0.03,0.3,1000,325,31,535,286,29,3.3885563749354333,12.0,46.5
cFlow,0,2.0,0.0,10,1000,0.03,0.3,1000,325,31,541,285,29,6.020387957803905,12.307692307692308,45.9
cFlow,0,3.0,0.0,10,1000,0.03,0.3,1000,325,31,538,285,29,8.15526929195039,12.307692307692308,46.2
cFlow,0,4.0,0.0,10,1000,0.03,0.3,1000,325,31,538,285,29,9.320592458825558,12.307692307692308,46.2
cFlow,0,5.0,0.0,10,1000,0.03,0.3,1000,325,31,538,285,29,10.021217208821326,12.307692307692308,46.2
cFlow,0,0.0,1.0,10,1000,0.03,0.3,1000,325,31,528,281,29,9.70005804207176,13.538461538461538,47.2
cFlow,0,1.0,1.0,10,1000,0.03,0.3,1000,325,31,535,282,29,12.94877962511964,13.23076923076923,46.5
cFlow,0,2.0,1.0,10,1000,0.03,0.3,1000,325,31,530,281,29,15.24018479208462,13.538461538461538,47.0
cFlow,0,3.0,1.0,10,1000,0.03,0.3,1000,325,31,530,281,29,17.567468458088115,13.538461538461538,47.0
cFlow,0,4.0,1.0,10,1000,0.03,0.3,1000,325,31,529,280,29,19.36125862505287,13.846153846153848,47.1
cFlow,0,5.0,1.0,10,1000,0.03,0.3,1000,325,31,529,280,29,19.53817562502809,13.846153846153848,47.1
cFlow,0,0.0,2.0,10,1000,0.03,0.3,1000,325,31,509,266,29,29.7172940839082,18.15384615384616,49.1
cFlow,0,1.0,2.0,10,1000,0.03,0.3,1000,325,31,504,265,29,31.988936042180285,18.46153846153846,49.6
cFlow,0,2.0,2.0,10,1000,0.03,0.3,1000,325,31,510,264,29,33.35652762511745,18.76923076923077,49.0
cFlow,0,3.0,2.0,10,1000,0.03,0.3,1000,325,31,515,264,29,36.61560054193251,18.76923076923077,48.5
cFlow,0,4.0,2.0,10,1000,0.03,0.3,1000,325,31,515,264,29,37.68493129196577,18.76923076923077,48.5
cFlow,0,5.0,2.0,10,1000,0.03,0.3,1000,325,31,510,267,29,37.10029716603458,17.846153846153847,49.0
cFlow,0,0.0,3.0,10,1000,0.03,0.3,1000,325,31,511,262,29,55.94882833282463,19.384615384615383,48.9
cFlow,0,1.0,3.0,10,1000,0.03,0.3,1000,325,31,528,264,29,56.75786858401261,18.76923076923077,47.2
cFlow,0,2.0,3.0,10,1000,0.03,0.3,1000,325,31,531,263,29,56.3779335829895,19.07692307692308,46.9
cFlow,0,3.0,3.0,10,1000,0.03,0.3,1000,325,31,512,262,29,59.362607875140384,19.384615384615383,48.8
cFlow,0,4.0,3.0,10,1000,0.03,0.3,1000,325,31,520,264,29,62.110777667025104,18.76923076923077,48.0
cFlow,0,5.0,3.0,10,1000,0.03,0.3,1000,325,31,516,267,29,57.46267383312807,17.846153846153847,48.4
cFlow,0,0.0,4.0,10,1000,0.03,0.3,1000,325,31,514,263,29,72.41993924998678,19.07692307692308,48.6
